id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
17891,Large Light Filled Loft,69063,Candace,,Central & Western,22.28327,114.14988,Entire home/apt,1400,60,73,2017-11-29,0.50,1,0,0,
72571,SoHo off Hollywood Road 3A,304876,Brend,,Central & Western,22.28463,114.15054,Entire home/apt,571,2,150,2017-04-17,1.11,10,141,0,
103760,Central Centre 5 min walk to/from Central MTR,304876,Brend,,Central & Western,22.28418,114.15431,Entire home/apt,728,4,278,2022-02-27,2.12,10,365,6,
104626,Entire Flat - Next to Man Mo Temple,544166,Celine,,Central & Western,22.2836,114.1479,Entire home/apt,2421,1,14,2012-02-06,0.11,1,365,0,
132773,Fabulous 2 Bdrm Aprt Open kitchen,304876,Brend,,Central & Western,22.28921,114.14325,Entire home/apt,853,2,209,2021-04-08,1.61,10,365,2,
163664,Soho off Hollywood Road P4,304876,Brend,,Central & Western,22.28494,114.14901,Entire home/apt,618,2,225,2021-02-16,1.75,10,0,0,
163742,Soho off Hollywood Road P3,304876,Brend,,Central & Western,22.28657,114.14889,Entire home/apt,775,2,234,2021-08-30,1.81,10,0,2,
248140,Bright Studio - Soho - Central HK,1300549,Darren,,Central & Western,22.28228,114.14923,Entire home/apt,750,1,167,2022-01-30,1.32,1,199,4,
263081,"3BR, 2 Helpers, Family Friendly!",1370155,Chuster,,Central & Western,22.27723,114.15083,Private room,4304,4,0,,,1,365,0,
274589,"8 mins HKCEC, 5 mins MTR Wan Chai, nr Causeway Bay",1435069,Shanshan,,Wan Chai,22.27924,114.16995,Entire home/apt,939,7,244,2022-02-01,1.95,1,354,3,
280746,Beautiful 3 bedroom designer Apt,1443229,Alice,,Yuen Long,22.46592,113.98207,Entire home/apt,961,4,39,2021-08-11,0.32,1,359,1,
306515,"HongKong,Central Bright Double Room",1576511,Frederic,,Central & Western,22.28376,114.15313,Entire home/apt,1038,30,20,2015-08-14,0.16,1,365,0,
318326,Stylish village house and tropical garden,991336,Scott,,Islands,22.2281,114.11298,Entire home/apt,4523,5,0,,,2,318,0,
382074,Graden Terrace Apt.in Wanchai MTR,1687846,Sinsin,,Wan Chai,22.27459,114.17056,Entire home/apt,883,14,36,2018-07-28,0.33,1,365,0,
463214,Awesome flat in Sai Ying Pun with Harbour view!!,2296168,Arnaud,,Central & Western,22.28537,114.14238,Entire home/apt,1297,3,21,2020-01-04,0.18,1,266,0,
505456,GREEN NEST IN  SHEUNG WAN HEART,1189239,Audrey,,Central & Western,22.28543,114.1489,Entire home/apt,850,1,224,2022-03-03,1.88,1,365,14,
540892,Cozy  Sheungwan  Soho Room 205,2376514,Sun-Ok,,Central & Western,22.2858,114.15241,Private room,950,2,10,2017-05-04,0.09,7,365,0,
560337,High floor/Bay view in Kowloon !!,2755168,Sonia,,Kowloon City,22.31228,114.18992,Private room,290,2,232,2019-12-30,1.96,1,364,0,
562659,"Spacious studio, 1min from Sogo(A)",2767759,Alfred,,Wan Chai,22.28113,114.18416,Entire home/apt,600,90,2,2020-10-04,0.05,10,270,0,
562683,Mixed Dorm Bed#1/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,208,1,113,2019-11-10,0.99,43,326,0,
562775,Mixed Dorm Bed#2/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,286,1,208,2022-03-01,2.66,43,326,4,
562795,Mixed Dorm Bed#3/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,286,1,45,2019-11-07,0.57,43,326,0,
562808,Mixed Dorm Bed#4/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,286,1,25,2019-06-14,0.32,43,341,0,
562817,Mixed Dorm Bed#A/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,283,1,163,2019-12-27,1.39,43,341,0,
562840,Mixed Dorm Bed#B/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,283,1,28,2019-05-08,0.24,43,326,0,
578652,Modern family-friendly suite in fishing village,2846701,Veronica,,Islands,22.25382,113.86251,Hotel room,1917,1,13,2021-09-01,0.16,3,35,3,
598668,Special offer! 1 mins walk from MTR Causeway Bay!,2961152,Lin,,Wan Chai,22.28257,114.18555,Private room,350,28,3,2016-02-01,0.03,12,365,0,
603049,Deluxe Room@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.25552,113.86369,Hotel room,1338,1,36,2021-12-12,0.38,3,37,7,
603050,Standard Rm@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.25575,113.86351,Hotel room,933,1,26,2021-12-30,0.25,3,36,6,
603085,A sunny  doubleroom with Terrace302,2376514,Sun-Ok,,Central & Western,22.28589,114.14975,Private room,1022,3,4,2017-05-01,0.04,7,365,0,
