id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35617716,Studio Convenient Room Available ( C27d),7518056,Jovee,,Wan Chai,22.25984,114.19192,Private room,217,29,0,,,375,364,0,
35357067,Taik Kok Tsui Room Available  ( TK3b ),7518056,Jovee,,Kowloon City,22.31953,114.17935,Private room,180,29,0,,,375,364,0,
12800556,B4.Walk to MTR 1 min/Economy room/Twin single bed,51969157,Jojo,,Yau Tsim Mong,22.30425,114.17171,Private room,600,1,33,2019-07-04,0.45,16,364,0,
6404673,The monthly rental near MTR,24275081,Ah,,Yau Tsim Mong,22.32063,114.17143,Private room,1000,1,5,2019-02-17,0.06,10,207,0,
18917631,Nice room in Fortress Hill,4584648,Ivy,,Eastern,22.28974,114.19475,Private room,180,30,0,,,384,365,0,
35026781,Convenient Quarry Bay Room Available ( Q1g ),7518056,Jovee,,Wan Chai,22.25769,114.19024,Private room,180,29,0,,,375,364,0,
18814985,C ～ Nice Mini studio  ( 溫馨小屋～ C ),128362709,Jo,,Wan Chai,22.28125,114.17862,Entire home/apt,480,3,128,2020-01-30,2.08,3,253,0,
45451019,香港道地的居旅Hong Kong authentic apartment,68059239,Tiffany,,Wan Chai,22.27554,114.17454,Shared room,1500,2,0,,,5,365,0,
38207057,"lovely 2Mins MTR Mong Kok,night market, 2BR,6pax",6837349,Mimi,,Yau Tsim Mong,22.3157,114.17196,Entire home/apt,1281,5,0,,,3,365,0,
30200513,Mixed Dorm Bed#J/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27742,114.17594,Shared room,200,1,1,2019-08-17,0.03,43,365,0,
54333066,京士頓大厦服敄式公寓,198109516,Caie,,Wan Chai,22.28273,114.18515,Private room,260,7,0,,,77,163,0,
6047437,恒暉酒店8房,31370701,Mandy,,Yau Tsim Mong,22.31222,114.16956,Private room,214,1,211,2022-01-24,2.6,5,11,1,
575267161531396905,佐敦地鐵站3分鐘日式裝修風格獨立寓所,50172398,Gloria,,Yau Tsim Mong,22.30336,114.17036,Entire home/apt,1380,1,0,,,39,365,0,
27322297,★ New! 2BR TST 1min MTR K11 KTV mahjong hotpot ★,153383798,Lyna,,Yau Tsim Mong,22.29816,114.17238,Entire home/apt,1159,1,254,2022-06-06,5.5,3,360,59,
48410720,A 2ppl DoubleBed HKManStudio 1min CausewayBay MTR,25048995,Moey,,Wan Chai,22.28107,114.18501,Private room,330,28,2,2022-05-04,0.16,29,357,1,
8526119,Danny's private room in mong kok GR,35448674,Panda,,Yau Tsim Mong,22.32038,114.17016,Shared room,800,28,0,,,9,179,0,
44473769,尖沙咀H出口1分鐘，交通方便，所以目的地都是半小時到達！,11643814,Gordon,,Yau Tsim Mong,22.29788,114.17265,Entire home/apt,350,28,0,,,5,173,0,
33569594,Mongkok MTR 2 min- New double bedroom w/private BR,50172398,Gloria,,Yau Tsim Mong,22.31724,114.16955,Private room,214,1,2,2022-02-20,0.05,39,365,1,
40501306,志城賓館 Chi Sing Hotel (5) - 標準雙人床房 Double bed room,166183091,Pineapple,,Yau Tsim Mong,22.31771,114.16906,Private room,260,1,0,,,53,42,0,
21421240,Spacious and comfy 2BR Apartment in Heart of TST,123664635,Ricky,,Yau Tsim Mong,22.29804,114.17327,Entire home/apt,1100,1,140,2022-05-22,2.47,1,90,12,
35667951,Nice and Comfort Room in Causeway Bay (C12D),7518056,Jovee,,Wan Chai,22.27956,114.18252,Private room,180,29,0,,,375,365,0,
42901755,Designed for Comfort/原生態設計師民宿/銅鑼灣/獨立專用廁所,102345449,K. Y. Benny,,Wan Chai,22.28009,114.18488,Private room,801,1,0,,,10,348,0,
31871375,"European private room, very cozy!",161663532,Carl-Christian,,Wan Chai,22.28025,114.18352,Private room,564,4,0,,,1,87,0,
33536044,Central loc & renovated Causeway Bay studio for 2,237156973,Paul,,Wan Chai,22.27921,114.1825,Private room,277,1,17,2020-02-04,0.44,1,364,0,
48595158,Causeway Bay 光猛私人房屋,50172398,Gloria,,Wan Chai,22.27853,114.18552,Private room,286,28,1,2021-09-01,0.1,39,365,1,
45290930,Good location/Nice apartment is good for all you!,353326613,Savi,,Wan Chai,22.28013,114.18412,Private room,285,28,0,,,98,362,0,
49763663,Good location apartment/Good for all students/304,353326613,Savi,,Wan Chai,22.28202,114.18468,Entire home/apt,260,28,0,,,98,286,0,
9886049,T1-Triple Superior Room,37289493,Ken,,Yau Tsim Mong,22.31681,114.16968,Private room,801,3,69,2019-08-10,0.88,28,358,0,
53927329,Tung chung  getaway G/F house for rent 35 -45 days,340132708,John,,Islands,22.27922,113.94063,Private room,1140,21,0,,,1,365,0,
9739939,Feel like a home,50252830,Water,,Kwun Tong,22.33205,114.2222,Private room,270,30,0,,,1,173,0,
12326287,Convenient designer apt with a view,9428509,Julian,,Yau Tsim Mong,22.30605,114.17197,Entire home/apt,1280,3,184,2022-01-13,2.46,2,120,6,
8230322,Two Bed for 3 persons sleep 3人間,43338383,Geo,,Yau Tsim Mong,22.32194,114.16835,Private room,657,1,7,2017-12-17,0.11,4,365,0,
33195942,Wanchai room for 1 - with lift !!! ------ ( MH3b),7518056,Jovee,,Wan Chai,22.27768,114.18074,Private room,180,29,1,2019-07-02,0.03,375,364,0,
29348721,「激罕!」銅鑼灣MTR美食購物，優質酒店式套房Causeway Bay MTR guesthouse,83828357,Jennifer,,Wan Chai,22.27842,114.18046,Entire home/apt,250,21,89,2022-05-18,2.04,3,73,9,
25537691,Stylish & New Double Bedroom - 1 min to TST MTR,56949831,Sam,,Yau Tsim Mong,22.29784,114.17321,Private room,195,2,100,2022-03-28,2.06,22,72,5,
25144169,"(香港佐敦)糖果音樂主題雙人雙床房 ~ 地理交通優先選(步行2分鐘到地鐵站, 6分鐘到尖沙咀)",189829763,Yannes,,Yau Tsim Mong,22.30578,114.16918,Private room,3175,1,16,2019-06-08,0.33,5,279,0,
38282230,Yaumatei Kowloon STUDIO for 2 + Kitchen ( Y10b,67709885,Steven,,Yau Tsim Mong,22.31382,114.16955,Entire home/apt,217,29,0,,,259,364,0,
641550408977765670,香港銅鑼灣名店坊樓上,198109516,Caie,,Wan Chai,22.280268324357472,114.18413248746724,Private room,250,30,0,,,77,164,0,
610316661386757730,銅鑼灣百德新街百德大廈A座,198109516,Caie,,Wan Chai,22.280367572886,114.18629318255928,Private room,320,30,0,,,77,317,0,
17184135,限聚令只限4人入住 【非東堤】 香港 Cheung Chau 長洲 Rm : 22B,109310747,Brenda,,Islands,22.2057,114.0279,Entire home/apt,714,1,8,2022-05-11,0.14,33,79,2,
53140017,旺角區經濟家庭房Budget Family Rm@Mong Kok08,24358640,Janis,,Yau Tsim Mong,22.31564,114.16991,Private room,207,10,2,2021-11-29,0.29,39,64,2,
49045653,尖沙咀地鐵站B1出口側日式榻榻米床合2人,50172398,Gloria,,Yau Tsim Mong,22.29856,114.17496,Private room,314,1,2,2022-03-03,0.57,39,365,2,
29018828,旺角地鐵站步行1分鐘,218408504,Ling,,Yau Tsim Mong,22.31829,114.16928,Private room,400,1,1,2018-11-14,0.02,1,365,0,
24728143,Armenia Hotel general room,35448674,Panda,,Yau Tsim Mong,22.31894,114.17167,Private room,1000,1,1,2018-10-03,0.02,9,90,0,
15721691,North Point room (n3d),4584648,Ivy,,Eastern,22.28993,114.20028,Private room,180,30,0,,,384,364,0,
34679314,White knight newly renovated clean f bathroom,261309703,Killua,,Yau Tsim Mong,22.29523,114.17233,Private room,338,1,0,,,12,180,0,
36168127,Affordable Room located Causeway Bay 4/walkup(C2e),4584648,Ivy,,Wan Chai,22.25991,114.19085,Private room,180,29,0,,,384,364,0,
623644001460015818,Lovely 1-Bedroom Apartment,97868351,Naeem,,Yau Tsim Mong,22.301131834272045,114.17420271547064,Entire home/apt,350,14,0,,,1,70,0,
41763601,Cozy Room with Private Bathroom for 2 ppl-C8,34074603,Ben,,Yau Tsim Mong,22.3192,114.17247,Entire home/apt,310,182,0,,,6,365,0,
39685274,Convenient and Big Tai Kok Tsui Studio (TK3E),97240131,Jov,,Yau Tsim Mong,22.31966,114.16262,Private room,217,29,0,,,340,364,0,
45788963,Superior Room,364588058,Hotel Pravo,,Yau Tsim Mong,22.29721,114.17001,Private room,4000,1,0,,,4,180,0,
636525363976915641,大樂之野,461305756,Rebecca,,Yuen Long,22.44015045828738,114.02932742589896,Entire home/apt,1400,1,0,,,1,195,0,
37647096,Tin Hau Room for 2 with lift !!!  shareflat (th1a),7518056,Jovee,,Wan Chai,22.25953,114.19222,Private room,180,29,0,,,375,364,0,
51997505,【長洲 Cheung Chau】 Room：B2 （非東堤）,109310747,Brenda,,Islands,22.20628,114.02832,Entire home/apt,400,1,1,2022-01-09,0.19,33,75,1,
34736751,Excellent and Marvelous Kennedy Town Ensuite (K1A),7518056,Jovee,,Central & Western,22.28393,114.13246,Private room,180,29,1,2019-06-27,0.03,375,365,0,
27748904,*Local cottage Cheungchau*,64902979,Sally,,Islands,22.21077,114.02972,Entire home/apt,293,1,20,2022-03-25,0.47,8,146,10,
35665354,香港Hong Kong 長洲Cheung Chau Rm：5D2海景房,109310747,Brenda,,Islands,22.21223,114.02784,Entire home/apt,576,1,26,2022-03-18,0.84,33,80,20,
34271172,［可月租Monthly rent]市區雙人房Double Room （Licensed house）,253882522,Lik,,Tsuen Wan,22.36965,114.11559,Hotel room,500,1,7,2021-01-03,0.18,2,90,0,
52575932,Lovely sea view 2 bedroom loft on Lamma Island,425557584,Julie,,Islands,22.23683,114.11126,Entire home/apt,600,2,21,2022-05-20,2.57,1,286,21,
14114942,Fortress Hill - Flat share(f1c),4584648,Ivy,,Eastern,22.2873,114.21027,Private room,180,30,0,,,384,364,0,
53907448,Cosy flat in the center of HK with big terrace/BBQ,119734960,Guillaume,,Central & Western,22.28804,114.14939,Entire home/apt,980,31,0,,,1,201,0,
33973399,Flat Share Room in Sai Ying Pun (S4d) Available,97240131,Jov,,Central & Western,22.28448,114.14294,Shared room,147,29,0,,,340,364,0,
22134553,（月租）地鐵站步行5分鐘有電梯窗戶衛浴獨立房間,80873942,Aline,,Sham Shui Po,22.33107,114.16513,Entire home/apt,399,90,47,2019-09-26,0.89,9,180,0,
34702110,Close to HKU Room in Sai Ying Pun - (S4d),7518056,Jovee,,Central & Western,22.28638,114.14137,Private room,147,29,0,,,375,364,0,
595252887765132099,果拧复式loft，高清投影,452200684,朋亮,,Sham Shui Po,22.33551,114.1649,Entire home/apt,400,1,0,,,1,165,0,
50797784,九龍汝洲街59-63號安發大廈. 月租$12000元。兩房一廳開放式廚房。有煤氣。近太子地鐵約五分鐘,381554404,Mr,,Sham Shui Po,22.32742,114.16529,Entire home/apt,400,365,0,,,2,365,0,
27620793,"Fuk Lo Tsun Road Private Room, New Reno *2I",14861546,Tane Residence,,Kowloon City,22.3274,114.18827,Entire home/apt,288,30,0,,,114,317,0,
11591386,NICE ROOM !!! Sheung Wan,4584648,Ivy,,Central & Western,22.28541,114.14971,Private room,180,60,0,,,384,365,0,
37765066,Super convenient Mongkok Ensuite (MK1B),7518056,Jovee,,Yau Tsim Mong,22.3198,114.16974,Private room,217,29,0,,,375,364,0,
23821920,❤️1min TST MTR❤️Deluxe Double Bed Rm@尖沙咀豪華大床房⑪,175194198,Mark,,Yau Tsim Mong,22.29932,114.17284,Private room,449,1,0,,,1,89,0,
51857362,Private room B Situated in Heart of Wanchai & CWB,22102422,Bowie,,Wan Chai,22.27634,114.17902,Private room,230,28,3,2022-01-10,0.39,9,350,3,
21612444,New 1BRS Mong Kok MTR Fit 2ppl (Flat C),13527132,Vincent,,Yau Tsim Mong,22.32009,114.16834,Private room,500,5,2,2019-03-01,0.04,3,180,0,
54149531,特惠studio，地鐵銅鑼灣站步行3分鐘,366329206,Yumi,,Wan Chai,22.27857,114.18902,Private room,280,30,0,,,20,62,0,
34425048,Room For 2ppl Available  Tsim Sha Tsui  (T5d),7518056,Jovee,,Kowloon City,22.31822,114.17874,Entire home/apt,180,29,0,,,375,364,0,
30333295,Nice shared Flat in Yau Ma Tei (Y8f),97240131,Jov,,Yau Tsim Mong,22.31439,114.17198,Private room,180,29,0,,,340,364,0,
51970662,旺角區經濟標雙房Budget Twin Rm@Mong Kok0117,24358640,Janis,,Yau Tsim Mong,22.31661,114.17074,Private room,238,7,0,,,39,69,0,
11072769,Perfect room +*+CAUSEWAY BAY,4584648,Ivy,,Wan Chai,22.27743,114.17871,Private room,180,30,0,,,384,365,0,
