id,topics
17891,"[(2, 0.5430159), (3, 0.411017), (7, 0.037510034)]"
72571,"[(0, 0.21310045), (2, 0.28862068), (3, 0.45088232), (4, 0.04129061)]"
103760,"[(0, 0.35795918), (3, 0.5241567), (5, 0.1089421)]"
104626,"[(0, 0.35052663), (2, 0.23484844), (3, 0.3698386), (7, 0.038109265)]"
132773,"[(0, 0.10301641), (2, 0.37275353), (3, 0.13153194), (5, 0.265933), (6, 0.12229505)]"
1187557,"[(1, 0.101650655), (2, 0.45208326), (5, 0.42019758)]"
1187738,"[(2, 0.8817418), (3, 0.0882175)]"
1187739,"[(1, 0.120394476), (2, 0.3133655), (5, 0.54836214)]"
1187770,"[(0, 0.34697375), (1, 0.4297462), (2, 0.07322591), (3, 0.14328744)]"
1226450,"[(1, 0.78897417), (2, 0.10484573), (5, 0.096976504)]"
163664,"[(0, 0.44986528), (3, 0.4837487), (4, 0.059017774)]"
1229848,"[(2, 0.13219859), (3, 0.85852206)]"
163742,"[(0, 0.4498662), (3, 0.48375496), (4, 0.059010647)]"
248140,"[(2, 0.4392425), (3, 0.55002755)]"
1253977,"[(2, 0.71884245), (5, 0.27057564)]"
1297179,"[(0, 0.23637205), (2, 0.5292369), (5, 0.1507957), (6, 0.07644096)]"
1312023,"[(0, 0.28145808), (1, 0.709386)]"
263081,"[(2, 0.2814294), (3, 0.7079855)]"
1345297,"[(2, 0.4612806), (3, 0.525058)]"
1463674,"[(2, 0.17030597), (3, 0.6128997), (5, 0.20347749)]"
274589,"[(2, 0.7922927), (4, 0.10029804), (5, 0.098946646)]"
1476913,"[(0, 0.16471837), (2, 0.21506196), (3, 0.1667277), (5, 0.3538164), (6, 0.094528496)]"
277437,"[(0, 0.28932628), (1, 0.02031496), (2, 0.11336703), (3, 0.46868676), (5, 0.10413388)]"
1534018,"[(3, 0.89337534), (6, 0.084544994)]"
280746,"[(0, 0.06838712), (2, 0.30230367), (3, 0.60048234), (6, 0.022152793)]"
1567495,"[(0, 0.69219357), (4, 0.29817393)]"
282507,"[(0, 0.58453965), (5, 0.3893216), (6, 0.018596914)]"
1615676,"[(0, 0.2544031), (4, 0.18517876), (5, 0.5414506)]"
306515,"[(0, 0.21581693), (1, 0.053576313), (2, 0.1635843), (3, 0.3985421), (5, 0.040690828), (6, 0.124770835)]"
1623311,"[(3, 0.7908851), (4, 0.19852218)]"
1643979,"[(1, 0.04867211), (2, 0.94117785)]"
1702604,"[(0, 0.08804332), (1, 0.047266755), (2, 0.39647478), (5, 0.21990885), (7, 0.24342984)]"
318326,"[(2, 0.04365663), (3, 0.9342479)]"
1708543,"[(0, 0.23347849), (3, 0.6644278), (4, 0.039887156), (7, 0.05472717)]"
382074,"[(3, 0.3514268), (5, 0.6388199)]"
1745925,"[(0, 0.2834176), (2, 0.14354521), (3, 0.08260818), (4, 0.062239137), (5, 0.18598144), (7, 0.23907994)]"
463214,"[(3, 0.98846674)]"
1749208,"[(0, 0.28339434), (2, 0.14352745), (3, 0.08266762), (4, 0.06219163), (5, 0.1859982), (7, 0.23909223)]"
505160,"[(0, 0.2657396), (3, 0.55174226), (5, 0.1727427)]"
505456,"[(0, 0.3133574), (2, 0.16796246), (3, 0.5110485)]"
1752310,"[(2, 0.18496141), (3, 0.8029214)]"
1796187,"[(2, 0.52724993), (3, 0.44928423)]"
1825886,"[(0, 0.69437903), (3, 0.16688238), (5, 0.13050054)]"
1826133,"[(0, 0.68527377), (3, 0.15838975), (5, 0.1482055)]"
1835565,"[(0, 0.6852807), (3, 0.15838613), (5, 0.1482022)]"
1849525,"[(0, 0.68533844), (3, 0.15843108), (5, 0.1480995)]"
1849579,"[(0, 0.68532264), (3, 0.15840843), (5, 0.14813797)]"
1851862,"[(0, 0.34514645), (2, 0.31652966), (4, 0.08705442), (5, 0.1949756), (6, 0.048783123)]"
1887852,"[(1, 0.26622528), (3, 0.4998966), (6, 0.105394974), (7, 0.11953986)]"
1907254,"[(2, 0.31575713), (3, 0.66076916)]"
1910193,"[(1, 0.8809343), (5, 0.10714267)]"
1922220,"[(0, 0.11183227), (1, 0.026670167), (3, 0.6531909), (5, 0.11619457), (6, 0.08682411)]"
1932651,"[(2, 0.40063787), (5, 0.5901953)]"
540892,"[(0, 0.08305136), (2, 0.16033185), (3, 0.5666079), (4, 0.18314591)]"
1944230,"[(0, 0.123494655), (2, 0.1294639), (3, 0.6639043), (6, 0.07566398)]"
1971970,"[(1, 0.4108948), (2, 0.577375)]"
1980360,"[(3, 0.7284447), (4, 0.2552226)]"
2023516,"[(5, 0.964968)]"
2026068,"[(0, 0.083077535), (1, 0.050255015), (2, 0.35770747), (5, 0.27866837), (7, 0.2254774)]"
2039450,"[(0, 0.21336196), (1, 0.10650534), (3, 0.59315294), (6, 0.07902793)]"
2039863,"[(0, 0.86935586), (6, 0.119912095)]"
2079554,"[(2, 0.6717059), (4, 0.21259977), (6, 0.048994586), (7, 0.056474425)]"
2084693,"[(0, 0.12201134), (2, 0.6882987), (3, 0.18257557)]"
2118190,"[(0, 0.6024501), (3, 0.080948055), (4, 0.06824593), (6, 0.06925966), (7, 0.17593932)]"
2118222,"[(0, 0.6024507), (3, 0.080945015), (4, 0.068249285), (6, 0.06925956), (7, 0.17593841)]"
2118400,"[(0, 0.6024564), (3, 0.08093061), (4, 0.068262935), (6, 0.06925914), (7, 0.17593397)]"
560337,"[(0, 0.2331166), (3, 0.21227671), (4, 0.10300873), (5, 0.20794643), (7, 0.23728567)]"
2174774,"[(0, 0.49405202), (2, 0.2684523), (4, 0.077154495), (6, 0.038005162), (7, 0.113176376)]"
2180315,"[(0, 0.4208357), (1, 0.5681167)]"
2184084,"[(2, 0.26828918), (3, 0.32831758), (4, 0.17482309), (5, 0.21502773)]"
562659,"[(0, 0.21566713), (1, 0.10958447), (3, 0.5519315), (6, 0.114737615)]"
562683,"[(4, 0.98891735)]"
2186111,"[(1, 0.099928156), (2, 0.56783384), (5, 0.18374649), (7, 0.14521766)]"
2217839,"[(0, 0.1449954), (1, 0.84083813)]"
562775,"[(4, 0.9889172)]"
2269506,"[(3, 0.1560924), (4, 0.3841293), (5, 0.08845817), (6, 0.2234782), (7, 0.14017347)]"
562795,"[(4, 0.9889173)]"
